Feature,Importance
TotalWeeklyPlayTime,0.9298297977347264
SessionsPerWeek,0.583070617961054
AvgSessionDurationMinutes,0.4201728068750789
AchievementsUnlocked,0.0664571010664435
PlayerLevel,0.05564925816036275
Location_Europe,0.011087792879145726
PlayTimeHours,0.00988319661867114
Age,0.008292691249947769
GameDifficulty_Hard,0.0067075410256626465
Location_USA,0.005700390108053069
GameGenre_Strategy,0.004604093126503076
GameDifficulty_Medium,0.0037656420951068716
Location_Other,0.0034507381243998325
GameGenre_RPG,0.0019494047277308693
Gender_Male,0.0018021753077849631
GameGenre_Simulation,0.001027722375022239
GameGenre_Sports,0.0004682990802982614
InGamePurchases,0.0
